City,State,Population,Latitude,Longitude,High_Feb,High_Jun,High_Dec,Temp_Feb,Temp_Jun,Temp_Dec,Low_Feb,Low_Jun,Low_Dec
Chalco,State of Mexico,174704,19.26472,-98.8975,23.0,24.0,22.0,15.0,18.0,14.0,8.0,13.0,7.0
Jiutepec,Morelos,174629,18.88139,-99.17778,29.0,29.0,27.0,21.0,23.0,19.0,12.0,18.0,11.0
Piedras Negras,Coahuila,173959,28.7,-100.52306,23.0,36.0,19.0,15.0,30.0,13.0,9.0,24.0,8.0
Guadalupe,Zacatecas,170029,22.75278,-102.50778,24.0,34.0,22.0,17.0,28.0,15.0,12.0,23.0,11.0
Chetumal,Quintana Roo,169028,18.50361,-88.30528,28.0,31.0,28.0,24.0,28.0,24.0,21.0,26.0,21.0
Miramar,Tamaulipas,161820,22.33306,-97.86639,24.0,32.0,24.0,20.0,29.0,20.0,17.0,26.0,17.0
Salamanca,Guanajuato,160682,20.57028,-101.19722,26.0,29.0,24.0,17.0,23.0,16.0,8.0,16.0,7.0
Ciudad Acuña,Coahuila,160225,29.32417,-100.93167,22.0,35.0,18.0,14.0,29.0,12.0,9.0,24.0,7.0
Manzanillo,Colima,159853,19.05222,-104.31583,29.0,31.0,29.0,24.0,28.0,25.0,19.0,24.0,21.0
San Pablo de las Salinas,State of Mexico,157998,19.66556,-99.09167,23.0,24.0,22.0,15.0,18.0,14.0,8.0,13.0,7.0
Cuautla,Morelos,157336,18.81222,-98.95583,29.0,29.0,28.0,21.0,23.0,19.0,13.0,18.0,12.0
Zamora,Michoacán,154546,19.98556,-102.28306,26.0,29.0,24.0,17.0,23.0,16.0,8.0,17.0,8.0
Minatitlán,Veracruz,149162,17.985278,-94.55,27.0,32.0,26.0,22.0,28.0,22.0,19.0,25.0,20.0
Villa de Álvarez,Colima,147496,19.26722,-103.73778,33.0,34.0,30.0,25.0,28.0,24.0,16.0,21.0,18.0
Colima,Colima,146965,19.24361,-103.73083,29.0,32.0,29.0,21.0,26.0,21.0,14.0,22.0,15.0
Rosarito,Baja California,126890,32.363611111111,-117.05444444444,18.0,21.0,18.0,14.0,18.0,13.0,11.0,16.0,10.0
San José del Cabo,Baja California Sur,136285,23.061666666667,-109.71138888889,27.0,33.0,27.0,21.0,29.0,21.0,16.0,24.0,17.0
Comitán de Domínguez,Chiapas,113479,16.251111111111,-92.134166666667,26.0,26.0,24.0,17.0,20.0,16.0,10.0,15.0,10.0
Cuauhtémoc,Chihuahua,180638,28.405,-106.86666666667,16.0,29.0,14.0,7.0,22.0,5.0,0.0,13.0,-2.0
Delicias,Chihuahua,128548,28.193333333333,-105.47111111111,23.0,36.0,20.0,13.0,28.0,11.0,5.0,20.0,3.0
Hidalgo del Parral,Chihuahua,113843,26.9325,-105.66305555556,21.0,32.0,19.0,11.0,24.0,9.0,4.0,17.0,3.0
Ramos Arizpe,Coahuila,114010,25.543611111111,-100.95027777778,22.0,29.0,20.0,13.0,23.0,13.0,8.0,17.0,7.0
Iguala de la Independencia,Guerrero,132854,18.344722222222,-99.539722222222,33.0,32.0,31.0,24.0,26.0,22.0,15.0,21.0,14.0
Tulancingo de Bravo,Hidalgo,168369,20.085833333333,-98.363333333333,22.0,23.0,21.0,13.0,17.0,12.0,7.0,12.0,6.0
Hacienda Santa Fe,Jalisco,139174,20.51806,-103.38056,26.0,29.0,24.0,16.0,23.0,14.0,7.0,17.0,6.0
Ciudad Guzmán,Jalisco,111975,19.704661111111,-103.4617,24.0,27.0,23.0,16.0,21.0,15.0,7.0,16.0,7.0
Lagos de Moreno,Jalisco,111569,21.356388888889,-101.92916666667,24.0,28.0,23.0,16.0,22.0,14.0,7.0,15.0,6.0
Apatzingán,Michoacán,102362,19.088611111111,-102.35083333333,34.0,35.0,32.0,25.0,29.0,24.0,17.0,24.0,17.0
Temixco,Morelos,104461,18.852777777778,-99.255277777778,29.0,29.0,28.0,21.0,24.0,19.0,13.0,19.0,12.0
San Juan Bautista Tuxtepec,Oaxaca,162511,18.09,-96.113888888889,29.0,34.0,28.0,23.0,29.0,22.0,18.0,24.0,18.0
Cholula,Puebla,87897,19.062777777778,-98.306666666667,23.0,24.0,22.0,14.0,18.0,13.0,7.0,13.0,6.0
El Pueblito,Querétaro,115264,20.552435833333,-100.44588305556,25.0,28.0,23.0,16.0,21.0,14.0,7.0,15.0,6.0
Ciudad Valles,San Luis Potosí,179371,21.986536666667,-99.018721111111,29.0,34.0,26.0,21.0,29.0,19.0,16.0,24.0,14.0
Navojoa,Sonora,164387,27.081666666667,-109.44555555556,26.0,36.0,26.0,18.0,30.0,18.0,12.0,24.0,11.0
Guaymas,Sonora,117253,27.919166666667,-110.8975,22.0,32.0,23.0,17.0,28.0,17.0,11.0,24.0,11.0
Tepexpan,State of Mexico,102667,19.613611111111,-98.914444444444,21.0,22.0,19.0,11.0,16.0,10.0,2.0,10.0,2.0
Río Bravo,Tamaulipas,111314,25.981666666667,-98.090277777778,24.0,34.0,23.0,18.0,29.0,17.0,13.0,24.0,12.0
Córdoba,Veracruz,218153,18.894166666667,-96.934722222222,26.0,30.0,25.0,18.0,24.0,18.0,13.0,18.0,13.0
Orizaba,Veracruz,120995,18.85,-97.1,23.0,27.0,22.0,17.0,22.0,16.0,11.0,17.0,11.0
Kanasín,Yucatán,139753,20.934444444444,-89.557777777778,31.0,35.0,29.0,24.0,28.0,24.0,19.0,24.0,19.0
Fresnillo,Zacatecas,143281,23.174894722222,-102.86822944444,21.0,27.0,20.0,12.0,20.0,11.0,3.0,13.0,2.0
Zacatecas,Zacatecas,138444,22.771666666667,-102.57527777778,20.0,25.0,18.0,11.0,18.0,9.0,2.0,11.0,1.0
Tlaxcala de Xicohténcatl,Tlaxcala,13555,19.31695,-98.238231111111,22.0,23.0,21.0,13.0,17.0,12.0,6.0,12.0,6.0
Guanajuato,Guanajuato,72237,21.017777777778,-101.25666666667,23.0,26.0,21.0,14.0,19.0,12.0,6.0,13.0,4.0
